n,a_n
2406,-2045
2407,-426
2408,2292
2409,-2356
2410,469
2411,-1894
2412,-898
2413,1151
2414,2231
2415,1095
2416,2387
2417,-1382
2418,720
2419,-1318
2420,2408
2421,2420
2422,2005
2423,1496
2424,1376
2425,-39
2426,-2337
2427,824
2428,1908
2429,-2112
2430,-1823
2431,-1865
2432,2176
2433,2193
2434,411
2435,1268
2436,-2272
2437,1431
2438,-2437
2439,1876
2440,-1106
2441,-384
2442,-1618
2443,192
2444,-870
2445,-539
2446,2390
2447,1670
2448,-2375
2449,111
2450,-2119
2451,-2450
2452,1053
2453,-1319
2454,1112
2455,-300
2456,2456
2457,-1627
2458,835
2459,-1512
2460,1916
2461,-890
2462,1971
2463,-2315
2464,-856
2465,-2456
2466,1639
2467,-1947
2468,1751
2469,-2237
2470,-453
2471,-1414
2472,-687
2473,-2094
2474,-2454
2475,998
2476,-2116
2477,2455
2478,-2448
2479,1594
2480,-2323
2481,2427
2482,2464
2483,2080
2484,656
2485,1386
2486,-1318
2487,2475
2488,-1350
2489,1929
2490,158
2491,1985
2492,-1162
2493,950
2494,2360
2495,-1539
2496,930
2497,225
2498,-2322
2499,885
2500,-2000
2501,-2327
2502,-1992
2503,-568
2504,-1474
2505,1398
2506,19
2507,379
2508,2270
2509,2459
2510,1912
2511,2366
2512,-936
2513,490
2514,-218
2515,2370
2516,2380
2517,-2441
2518,-47
2519,-314
2520,403
2521,1939
2522,-1503
2523,-2442
2524,2098
2525,-1389
2526,-1018
2527,-309
2528,-2278
2529,854
2530,-1239
2531,-2369
2532,-596
2533,1991
2534,-1761
2535,-2511
2536,1933
2537,-2021
2538,2072
2539,-2520
2540,-1085
2541,2319
2542,1232
2543,1213
2544,864
2545,-160
2546,-561
2547,-2483
2548,-2315
2549,-886
2550,-177
2551,-2237
2552,-468
2553,-251
2554,825
2555,2415
2556,1976
2557,155
2558,-2235
2559,2483
2560,2330
2561,-2234
2562,822
2563,-2279
2564,2499
2565,-2541
2566,-1340
2567,-2551
2568,-65
2569,-2125
2570,-2463
